Expectancy
73.67
73.22
72.26
71.28
70.3
69.32
68.33
67.35
66.36
65.37
64.38
63.39
62.4
61.41
60.43
59.46
58.5
57.55
56.61
55.68
54.74
53.82
52.89
51.97
51.04
50.11
49.18
48.25
47.32
46.38
45.45
44.52
43.59
42.66
41.74
40.82
39.89
38.98
38.06
37.15
36.24
35.34
34.44
33.55
32.66
31.78
30.9
30.03
29.17
28.31
27.45
26.6
25.76
24.92
24.1
23.28
22.47
21.67
20.88
20.1
19.34
18.59
17.85
17.13
16.42
15.74
15.07
14.42
13.79
13.18
12.57
11.97
11.39
10.81
10.25
9.7
9.17
8.65
8.15
7.66
7.2
6.76
6.34
5.94
5.56
5.2
4.87
4.55
4.26
3.99
3.73
3.49
3.27
3.07
2.89
2.72
2.56
2.42
2.3
2.18
2.06
1.95
1.85
1.75
1.65
1.56
1.47
1.38
1.3
1.22
1.14
1.07
1
0.93
0.87
0.81
0.75
0.69
0.64
0.59
